School Year,County,Grade,Vaccine Series,Number of Schools,Total Enrollment Count,Total Vaccinated Count,Percentage Vaccinated,Religious- Flu Only Exemption Count,Religious Exemption Count,Percentage Religious Exemption,Medical Exemption Count,Percentage Medical Exemption,Percentage Compliant,Percentage Non-Compliant
2015-2016,Hartford,K,HepA,189,10271,,96.3,,159,1.5,22,0.2,98.1,1.9
2015-2016,Hartford,7th,Polio,134,11388,,98.9,,82,0.7,14,0.1,99.7,0.3
2015-2016,Hartford,7th,DTaP,134,11388,,98.9,,82,0.7,14,0.1,99.7,0.3
2015-2016,Hartford,7th,MMR,134,11388,,98.9,,82,0.7,14,0.1,99.7,0.3
2015-2016,Hartford,7th,HepB,134,11388,,98.9,,82,0.7,14,0.1,99.7,0.3
2015-2016,Hartford,7th,Varicella,134,11388,,98.2,,82,0.7,14,0.1,99.0,1.0
2015-2016,Hartford,7th,MCV,134,11388,,94.8,,82,0.7,14,0.1,95.6,4.4
2015-2016,Hartford,7th,Tdap,134,11388,,95.3,,82,0.7,14,0.1,96.1,3.9
2015-2016,Litchfield,Pre-K,Flu,25,740,,90.4,28,18,2.4,4,0.5,97.2,2.8
2015-2016,Litchfield,K,Polio,41,1653,,96.9,,37,2.2,7,0.4,99.6,0.4
2015-2016,Litchfield,K,DTaP,41,1653,,96.9,,37,2.2,7,0.4,99.6,0.4
2015-2016,Litchfield,K,MMR,41,1653,,97.0,,37,2.2,7,0.4,99.7,0.3
2015-2016,Litchfield,K,HepB,41,1653,,97.0,,37,2.2,7,0.4,99.7,0.3
2015-2016,Litchfield,K,Varicella,41,1653,,96.7,,37,2.2,7,0.4,99.4,0.6
2015-2016,Litchfield,K,HepA,41,1653,,96.2,,37,2.2,7,0.4,98.9,1.1
2015-2016,Litchfield,7th,Polio,27,1994,,98.9,,14,0.7,7,0.4,100.0,0.0
2015-2016,Litchfield,7th,DTaP,27,1994,,98.9,,14,0.7,7,0.4,100.0,0.0
2015-2016,Litchfield,7th,MMR,27,1994,,99.8,,14,0.7,7,0.4,100.9,-0.9
2015-2016,Litchfield,7th,HepB,27,1994,,99.9,,14,0.7,7,0.4,101.0,-1.0
2015-2016,Litchfield,7th,Varicella,27,1994,,96.1,,14,0.7,7,0.4,97.2,2.8
2015-2016,Litchfield,7th,MCV,27,1994,,90.7,,14,0.7,7,0.4,91.8,8.2
2015-2016,Litchfield,7th,Tdap,27,1994,,90.3,,14,0.7,7,0.4,91.4,8.6
2015-2016,Middlesex,Pre-K,Flu,14,518,,95.9,16,6,1.2,4,0.8,100.9,-0.9
2015-2016,Middlesex,K,Polio,27,1412,,97.8,,28,2.0,1,0.1,99.9,0.1
2015-2016,Middlesex,K,DTaP,27,1412,,97.7,,28,2.0,1,0.1,99.8,0.2
2015-2016,Middlesex,K,MMR,27,1412,,97.8,,28,2.0,1,0.1,99.9,0.1
2015-2016,Middlesex,K,HepB,27,1412,,97.7,,28,2.0,1,0.1,99.8,0.2
2015-2016,Middlesex,K,Varicella,27,1412,,97.5,,28,2.0,1,0.1,99.6,0.4
2015-2016,Middlesex,K,HepA,27,1412,,97.4,,28,2.0,1,0.1,99.5,0.5
2015-2016,Middlesex,7th,Polio,16,1756,,98.7,,16,0.9,4,0.2,99.8,0.2
2015-2016,Middlesex,7th,DTaP,16,1756,,98.7,,16,0.9,4,0.2,99.8,0.2
2015-2016,Middlesex,7th,MMR,16,1756,,98.8,,16,0.9,4,0.2,99.9,0.1
2015-2016,Middlesex,7th,HepB,16,1756,,98.8,,16,0.9,4,0.2,99.9,0.1
2015-2016,Middlesex,7th,Varicella,16,1756,,98.7,,16,0.9,4,0.2,99.8,0.2
2015-2016,Middlesex,7th,MCV,16,1756,,98.5,,16,0.9,4,0.2,99.6,0.4
2015-2016,Middlesex,7th,Tdap,16,1756,,98.6,,16,0.9,4,0.2,99.7,0.3
2015-2016,New Haven,Pre-K,Flu,117,5686,,88.8,147,46,0.8,43,0.8,93.0,7.0
2015-2016,New Haven,K,Polio,179,9505,,97.9,,101,1.1,20,0.2,99.2,0.8
2015-2016,New Haven,K,DTaP,179,9505,,97.9,,101,1.1,20,0.2,99.2,0.8
2015-2016,New Haven,K,MMR,179,9505,,97.9,,101,1.1,20,0.2,99.2,0.8
2015-2016,New Haven,K,HepB,179,9505,,98.2,,101,1.1,20,0.2,99.5,0.5
2015-2016,New Haven,K,Varicella,179,9505,,97.8,,101,1.1,20,0.2,99.1,0.9
2015-2016,New Haven,K,HepA,179,9505,,97.9,,101,1.1,20,0.2,99.2,0.8
2015-2016,New Haven,7th,Polio,123,10816,,99.0,,73,0.7,17,0.2,99.8,0.2
2015-2016,New Haven,7th,DTaP,123,10816,,99.0,,73,0.7,17,0.2,99.8,0.2
2015-2016,New Haven,7th,MMR,123,10816,,98.8,,73,0.7,17,0.2,99.6,0.4
2015-2016,New Haven,7th,HepB,123,10816,,98.9,,73,0.7,17,0.2,99.7,0.3
2015-2016,New Haven,7th,Varicella,123,10816,,98.6,,73,0.7,17,0.2,99.4,0.6
2015-2016,New Haven,7th,MCV,123,10816,,97.5,,73,0.7,17,0.2,98.3,1.7
2015-2016,New Haven,7th,Tdap,123,10816,,97.8,,73,0.7,17,0.2,98.6,1.4
2015-2016,New London,Pre-K,Flu,37,1842,,86.2,57,33,1.8,15,0.8,91.9,8.1
2015-2016,New London,K,Polio,61,2835,,97.2,,54,1.9,6,0.2,99.3,0.7
2015-2016,New London,K,DTaP,61,2835,,97.2,,54,1.9,6,0.2,99.3,0.7
2015-2016,New London,K,MMR,61,2835,,97.2,,54,1.9,6,0.2,99.3,0.7
2015-2016,New London,K,HepB,61,2835,,97.6,,54,1.9,6,0.2,99.7,0.3
2015-2016,New London,K,Varicella,61,2835,,97.1,,54,1.9,6,0.2,99.2,0.8
2015-2016,New London,K,HepA,61,2835,,96.8,,54,1.9,6,0.2,98.9,1.1
2015-2016,New London,7th,Polio,39,3262,,98.5,,34,1.0,11,0.3,99.9,0.1
2015-2016,New London,7th,DTaP,39,3262,,98.3,,34,1.0,11,0.3,99.7,0.3
2015-2016,New London,7th,MMR,39,3262,,98.6,,34,1.0,11,0.3,100.0,0.0
2015-2016,New London,7th,HepB,39,3262,,98.6,,34,1.0,11,0.3,100.0,0.0
2015-2016,New London,7th,Varicella,39,3262,,97.6,,34,1.0,11,0.3,99.0,1.0
2015-2016,New London,7th,MCV,39,3262,,90.6,,34,1.0,11,0.3,92.0,8.0
2015-2016,New London,7th,Tdap,39,3262,,94.4,,34,1.0,11,0.3,95.8,4.2
2015-2016,State,Pre-K,Flu,454,21438,,86.2,782,365,1.7,152,0.7,92.3,7.7
2015-2016,State,K,Polio,748,39533,,97.0,,689,1.7,110,0.3,99.0,1.0
2015-2016,State,K,DTaP,748,39533,,97.0,,689,1.7,110,0.3,99.0,1.0
2015-2016,State,K,MMR,748,39533,,97.0,,689,1.7,110,0.3,99.0,1.0
2015-2016,State,K,HepB,748,39533,,97.4,,689,1.7,110,0.3,99.4,0.6
2015-2016,State,K,Varicella,748,39533,,96.6,,689,1.7,110,0.3,98.6,1.4
2015-2016,State,K,HepA,748,39533,,96.8,,689,1.7,110,0.3,98.8,1.2
2015-2016,State,7th,Polio,502,45260,,98.8,,399,0.9,80,0.2,99.9,0.1
2015-2016,State,7th,DTaP,502,45260,,98.8,,399,0.9,80,0.2,99.9,0.1
2015-2016,State,7th,MMR,502,45260,,98.7,,399,0.9,80,0.2,99.8,0.2
2015-2016,State,7th,HepB,502,45260,,98.7,,399,0.9,80,0.2,99.8,0.2
2015-2016,State,7th,Varicella,502,45260,,98.2,,399,0.9,80,0.2,99.3,0.7
2015-2016,State,7th,MCV,502,45260,,95.8,,399,0.9,80,0.2,96.9,3.1
2015-2016,State,7th,Tdap,502,45260,,96.3,,399,0.9,80,0.2,97.4,2.6
2015-2016,Tolland,Pre-K,Flu,21,649,,91.1,28,11,1.7,5,0.8,97.9,2.1
2015-2016,Tolland,K,Polio,25,1176,,95.3,,43,3.7,3,0.3,99.2,0.8
2015-2016,Tolland,K,DTaP,25,1176,,95.2,,43,3.7,3,0.3,99.1,0.9
2015-2016,Tolland,K,MMR,25,1176,,95.6,,43,3.7,3,0.3,99.5,0.5
2015-2016,Tolland,K,HepB,25,1176,,95.2,,43,3.7,3,0.3,99.1,0.9
2015-2016,Tolland,K,Varicella,25,1176,,95.5,,43,3.7,3,0.3,99.4,0.6
2015-2016,Tolland,K,HepA,25,1176,,94.8,,43,3.7,3,0.3,98.7,1.3
2015-2016,Tolland,7th,Polio,16,1778,,98.5,,22,1.2,3,0.2,99.9,0.1
2015-2016,Tolland,7th,DTaP,16,1778,,98.5,,22,1.2,3,0.2,99.9,0.1
2015-2016,Tolland,7th,MMR,16,1778,,98.5,,22,1.2,3,0.2,99.9,0.1
2015-2016,Tolland,7th,HepB,16,1778,,98.4,,22,1.2,3,0.2,99.8,0.2
2015-2016,Tolland,7th,Varicella,16,1778,,98.4,,22,1.2,3,0.2,99.8,0.2
2015-2016,Tolland,7th,MCV,16,1778,,97.9,,22,1.2,3,0.2,99.3,0.7
2015-2016,Tolland,7th,Tdap,16,1778,,97.8,,22,1.2,3,0.2,99.2,0.8
2015-2016,Windham,Pre-K,Flu,17,869,,84.3,49,13,1.5,10,1.2,92.6,7.4
2015-2016,Windham,K,Polio,25,1191,,96.2,,24,2.0,10,0.8,99.1,0.9
2015-2016,Windham,K,DTaP,25,1191,,96.4,,24,2.0,10,0.8,99.3,0.7
2015-2016,Windham,K,MMR,25,1191,,96.5,,24,2.0,10,0.8,99.4,0.6
2015-2016,Windham,K,HepB,25,1191,,96.8,,24,2.0,10,0.8,99.7,0.3
2015-2016,Windham,K,Varicella,25,1191,,96.5,,24,2.0,10,0.8,99.4,0.6
2015-2016,Windham,K,HepA,25,1191,,95.9,,24,2.0,10,0.8,98.8,1.2
2015-2016,Windham,7th,Polio,22,1309,,98.3,,17,1.3,3,0.2,99.8,0.2
2015-2016,Windham,7th,DTaP,22,1309,,98.4,,17,1.3,3,0.2,99.9,0.1
2015-2016,Windham,7th,MMR,22,1309,,98.3,,17,1.3,3,0.2,99.8,0.2
2015-2016,Windham,7th,HepB,22,1309,,98.2,,17,1.3,3,0.2,99.7,0.3
2015-2016,Windham,7th,Varicella,22,1309,,97.9,,17,1.3,3,0.2,99.4,0.6
2015-2016,Windham,7th,MCV,22,1309,,97.7,,17,1.3,3,0.2,99.2,0.8
2015-2016,Windham,7th,Tdap,22,1309,,97.6,,17,1.3,3,0.2,99.1,0.9
2014-2015,Fairfield,Pre-K,Flu,99,4983,,80.4,255,125,2.5,33,0.7,88.7,11.3
2014-2015,Fairfield,K,Polio,201,11653,,97.2,,182,1.6,35,0.3,99.1,0.9
2014-2015,Fairfield,K,DTaP,201,11653,,97.2,,182,1.6,35,0.3,99.1,0.9
2014-2015,Fairfield,K,MMR,201,11653,,97.0,,182,1.6,35,0.3,98.9,1.1
2014-2015,Fairfield,K,HepB,201,11653,,97.6,,182,1.6,35,0.3,99.5,0.5
2014-2015,Fairfield,K,Varicella,201,11653,,96.8,,182,1.6,35,0.3,98.7,1.3
2014-2015,Fairfield,K,HepA,201,11653,,97.2,,182,1.6,35,0.3,99.1,0.9
2014-2015,Fairfield,7th,Polio,125,12018,,98.5,,101,0.8,56,0.5,99.8,0.2
2014-2015,Fairfield,7th,DTaP,125,12018,,98.3,,101,0.8,56,0.5,99.6,0.4
2014-2015,Fairfield,7th,MMR,125,12018,,98.6,,101,0.8,56,0.5,99.9,0.1
2014-2015,Fairfield,7th,HepB,125,12018,,98.4,,101,0.8,56,0.5,99.7,0.3
2014-2015,Fairfield,7th,Varicella,125,12018,,97.9,,101,0.8,56,0.5,99.2,0.8
2014-2015,Fairfield,7th,MCV,125,12018,,96.5,,101,0.8,56,0.5,97.8,2.2
2014-2015,Fairfield,7th,Tdap,125,12018,,96.8,,101,0.8,56,0.5,98.1,1.9
2014-2015,Hartford,Pre-K,Flu,122,6539,,79.6,316,82,1.3,46,0.7,86.4,13.6
2014-2015,Hartford,K,Polio,187,10344,,95.9,,152,1.5,30,0.3,97.7,2.3
2014-2015,Hartford,K,DTaP,187,10344,,96.1,,152,1.5,30,0.3,97.9,2.1
2014-2015,Hartford,K,MMR,187,10344,,96.5,,152,1.5,30,0.3,98.3,1.7
2014-2015,Hartford,K,HepB,187,10344,,97.2,,152,1.5,30,0.3,99.0,1.0
2014-2015,Hartford,K,Varicella,187,10344,,96.1,,152,1.5,30,0.3,97.9,2.1
2014-2015,Hartford,K,HepA,187,10344,,96.3,,152,1.5,30,0.3,98.1,1.9
2014-2015,Hartford,7th,Polio,128,10676,,98.6,,75,0.7,24,0.2,99.5,0.5
2014-2015,Hartford,7th,DTaP,128,10676,,98.6,,75,0.7,24,0.2,99.5,0.5
2014-2015,Hartford,7th,MMR,128,10676,,98.6,,75,0.7,24,0.2,99.5,0.5
2014-2015,Hartford,7th,HepB,128,10676,,98.5,,75,0.7,24,0.2,99.4,0.6
2014-2015,Hartford,7th,Varicella,128,10676,,97.1,,75,0.7,24,0.2,98.0,2.0
2014-2015,Hartford,7th,MCV,128,10676,,93.8,,75,0.7,24,0.2,94.7,5.3
2014-2015,Hartford,7th,Tdap,128,10676,,94.2,,75,0.7,24,0.2,95.1,4.9
2014-2015,Litchfield,Pre-K,Flu,30,769,,88.6,28,14,1.8,6,0.8,94.8,5.2
2014-2015,Litchfield,K,Polio,42,1574,,97.6,,29,1.8,5,0.3,99.8,0.2
2014-2015,Litchfield,K,DTaP,42,1574,,97.6,,29,1.8,5,0.3,99.8,0.2
2014-2015,Litchfield,K,MMR,42,1574,,97.6,,29,1.8,5,0.3,99.8,0.2
2014-2015,Litchfield,K,HepB,42,1574,,97.6,,29,1.8,5,0.3,99.8,0.2
2014-2015,Litchfield,K,Varicella,42,1574,,97.5,,29,1.8,5,0.3,99.7,0.3
2014-2015,Litchfield,K,HepA,42,1574,,97.0,,29,1.8,5,0.3,99.2,0.8
2014-2015,Litchfield,7th,Polio,26,1774,,98.8,,15,0.8,4,0.2,99.9,0.1
2014-2015,Litchfield,7th,DTaP,26,1774,,98.8,,15,0.8,4,0.2,99.9,0.1
2014-2015,Litchfield,7th,MMR,26,1774,,98.8,,15,0.8,4,0.2,99.9,0.1
2014-2015,Litchfield,7th,HepB,26,1774,,98.8,,15,0.8,4,0.2,99.9,0.1
2014-2015,Litchfield,7th,Varicella,26,1774,,95.2,,15,0.8,4,0.2,96.3,3.7
2014-2015,Litchfield,7th,MCV,26,1774,,93.4,,15,0.8,4,0.2,94.5,5.5
2014-2015,Litchfield,7th,Tdap,26,1774,,93.4,,15,0.8,4,0.2,94.5,5.5
2014-2015,Middlesex,Pre-K,Flu,14,506,,91.3,8,18,3.6,1,0.2,96.6,3.4
2014-2015,Middlesex,K,Polio,27,1486,,97.1,,35,2.4,7,0.5,99.9,0.1
2014-2015,Middlesex,K,DTaP,27,1486,,97.2,,35,2.4,7,0.5,100.0,0.0
2014-2015,Middlesex,K,MMR,27,1486,,97.0,,35,2.4,7,0.5,99.8,0.2
2014-2015,Middlesex,K,HepB,27,1486,,96.9,,35,2.4,7,0.5,99.7,0.3
2014-2015,Middlesex,K,Varicella,27,1486,,97.0,,35,2.4,7,0.5,99.8,0.2
2014-2015,Middlesex,K,HepA,27,1486,,96.8,,35,2.4,7,0.5,99.6,0.4
2014-2015,Middlesex,7th,Polio,17,1737,,98.6,,18,1.0,6,0.3,100.0,0.0
2014-2015,Middlesex,7th,DTaP,17,1737,,98.6,,18,1.0,6,0.3,100.0,0.0
2014-2015,Middlesex,7th,MMR,17,1737,,98.6,,18,1.0,6,0.3,100.0,0.0
2014-2015,Middlesex,7th,HepB,17,1737,,98.6,,18,1.0,6,0.3,100.0,0.0
2014-2015,Middlesex,7th,Varicella,17,1737,,98.4,,18,1.0,6,0.3,99.8,0.2
2014-2015,Middlesex,7th,MCV,17,1737,,96.5,,18,1.0,6,0.3,97.9,2.1
2014-2015,Middlesex,7th,Tdap,17,1737,,97.1,,18,1.0,6,0.3,98.5,1.5
2014-2015,New Haven,Pre-K,Flu,117,4905,,90.4,139,56,1.1,40,0.8,95.2,4.8
2014-2015,New Haven,K,Polio,176,9751,,97.8,,113,1.2,15,0.2,99.1,0.9
2014-2015,New Haven,K,DTaP,176,9751,,97.9,,113,1.2,15,0.2,99.2,0.8
2014-2015,New Haven,K,MMR,176,9751,,97.8,,113,1.2,15,0.2,99.1,0.9
2014-2015,New Haven,K,HepB,176,9751,,98.1,,113,1.2,15,0.2,99.4,0.6
2014-2015,New Haven,K,Varicella,176,9751,,97.6,,113,1.2,15,0.2,98.9,1.1
2014-2015,New Haven,K,HepA,176,9751,,97.6,,113,1.2,15,0.2,98.9,1.1
2014-2015,New Haven,7th,Polio,124,10520,,99.1,,59,0.6,22,0.2,99.9,0.1
2014-2015,New Haven,7th,DTaP,124,10520,,99.0,,59,0.6,22,0.2,99.8,0.2
2014-2015,New Haven,7th,MMR,124,10520,,99.2,,59,0.6,22,0.2,100.0,0.0
2014-2015,New Haven,7th,HepB,124,10520,,99.1,,59,0.6,22,0.2,99.9,0.1
2014-2015,New Haven,7th,Varicella,124,10520,,97.7,,59,0.6,22,0.2,98.5,1.5
2014-2015,New Haven,7th,MCV,124,10520,,95.0,,59,0.6,22,0.2,95.8,4.2
2014-2015,New Haven,7th,Tdap,124,10520,,95.2,,59,0.6,22,0.2,96.0,4.0
2014-2015,New London,Pre-K,Flu,37,1856,,85.7,69,18,1.0,14,0.8,91.1,8.9
2014-2015,New London,K,Polio,59,2704,,96.5,,61,2.3,11,0.4,99.2,0.8
2014-2015,New London,K,DTaP,59,2704,,96.4,,61,2.3,11,0.4,99.1,0.9
2014-2015,New London,K,MMR,59,2704,,96.6,,61,2.3,11,0.4,99.3,0.7
2014-2015,New London,K,HepB,59,2704,,96.8,,61,2.3,11,0.4,99.5,0.5
2014-2015,New London,K,Varicella,59,2704,,96.5,,61,2.3,11,0.4,99.2,0.8
2014-2015,New London,K,HepA,59,2704,,95.7,,61,2.3,11,0.4,98.4,1.6
2014-2015,New London,7th,Polio,38,2837,,98.7,,28,1.0,5,0.2,99.9,0.1
2014-2015,New London,7th,DTaP,38,2837,,98.6,,28,1.0,5,0.2,99.8,0.2
2014-2015,New London,7th,MMR,38,2837,,98.8,,28,1.0,5,0.2,100.0,0.0
2014-2015,New London,7th,HepB,38,2837,,98.7,,28,1.0,5,0.2,99.9,0.1
2014-2015,New London,7th,Varicella,38,2837,,98.0,,28,1.0,5,0.2,99.2,0.8
2014-2015,New London,7th,MCV,38,2837,,95.3,,28,1.0,5,0.2,96.5,3.5
2014-2015,New London,7th,Tdap,38,2837,,95.9,,28,1.0,5,0.2,97.1,2.9
2014-2015,State,Pre-K,Flu,460,21172,,84.0,904,337,1.6,142,0.7,90.5,9.5
2014-2015,State,K,Polio,740,39948,,97.0,,628,1.6,114,0.3,98.9,1.1
2014-2015,State,K,DTaP,740,39948,,97.0,,628,1.6,114,0.3,98.9,1.1
2014-2015,State,K,MMR,740,39948,,97.0,,628,1.6,114,0.3,98.9,1.1
2014-2015,State,K,HepB,740,39948,,97.5,,628,1.6,114,0.3,99.4,0.6
2014-2015,State,K,Varicella,740,39948,,96.8,,628,1.6,114,0.3,98.7,1.3
2014-2015,State,K,HepA,740,39948,,96.9,,628,1.6,114,0.3,98.8,1.2
2014-2015,State,7th,Polio,492,42523,,98.8,,316,0.7,118,0.3,99.8,0.2
2014-2015,State,7th,DTaP,492,42523,,98.7,,316,0.7,118,0.3,99.7,0.3
2014-2015,State,7th,MMR,492,42523,,98.8,,316,0.7,118,0.3,99.8,0.2
2014-2015,State,7th,HepB,492,42523,,98.7,,316,0.7,118,0.3,99.7,0.3
2014-2015,State,7th,Varicella,492,42523,,97.6,,316,0.7,118,0.3,98.6,1.4
2014-2015,State,7th,MCV,492,42523,,95.4,,316,0.7,118,0.3,96.4,3.6
2014-2015,State,7th,Tdap,492,42523,,95.7,,316,0.7,118,0.3,96.7,3.3
2014-2015,Tolland,Pre-K,Flu,20,663,,90.6,32,13,2.0,2,0.3,97.7,2.3
2014-2015,Tolland,K,Polio,24,1300,,95.8,,41,3.2,4,0.3,99.3,0.7
2014-2015,Tolland,K,DTaP,24,1300,,95.8,,41,3.2,4,0.3,99.3,0.7
2014-2015,Tolland,K,MMR,24,1300,,95.8,,41,3.2,4,0.3,99.3,0.7
2014-2015,Tolland,K,HepB,24,1300,,95.8,,41,3.2,4,0.3,99.3,0.7
2014-2015,Tolland,K,Varicella,24,1300,,95.5,,41,3.2,4,0.3,99.0,1.0
2014-2015,Tolland,K,HepA,24,1300,,94.7,,41,3.2,4,0.3,98.2,1.8
2014-2015,Tolland,7th,Polio,14,1640,,99.3,,10,0.6,1,0.1,100.0,0.0
2014-2015,Tolland,7th,DTaP,14,1640,,99.3,,10,0.6,1,0.1,100.0,0.0
2014-2015,Tolland,7th,MMR,14,1640,,99.3,,10,0.6,1,0.1,100.0,0.0
2014-2015,Tolland,7th,HepB,14,1640,,99.3,,10,0.6,1,0.1,100.0,0.0
2014-2015,Tolland,7th,Varicella,14,1640,,99.3,,10,0.6,1,0.1,100.0,0.0
2014-2015,Tolland,7th,MCV,14,1640,,99.0,,10,0.6,1,0.1,99.7,0.3
2014-2015,Tolland,7th,Tdap,14,1640,,99.3,,10,0.6,1,0.1,100.0,0.0
2014-2015,Windham,Pre-K,Flu,21,951,,85.4,57,11,1.2,0,0.0,92.6,7.4
2014-2015,Windham,K,Polio,24,1136,,97.3,,15,1.3,7,0.6,99.2,0.8
2014-2015,Windham,K,DTaP,24,1136,,97.2,,15,1.3,7,0.6,99.1,0.9
2014-2015,Windham,K,MMR,24,1136,,97.2,,15,1.3,7,0.6,99.1,0.9
2014-2015,Windham,K,HepB,24,1136,,97.9,,15,1.3,7,0.6,99.8,0.2
2014-2015,Windham,K,Varicella,24,1136,,97.2,,15,1.3,7,0.6,99.1,0.9
2014-2015,Windham,K,HepA,24,1136,,97.3,,15,1.3,7,0.6,99.2,0.8
2014-2015,Windham,7th,Polio,20,1321,,99.1,,10,0.8,0,0.0,99.9,0.1
2014-2015,Windham,7th,DTaP,20,1321,,99.1,,10,0.8,0,0.0,99.9,0.1
2014-2015,Windham,7th,MMR,20,1321,,99.2,,10,0.8,0,0.0,100.0,0.0
2014-2015,Windham,7th,HepB,20,1321,,98.9,,10,0.8,0,0.0,99.7,0.3
2014-2015,Windham,7th,Varicella,20,1321,,98.7,,10,0.8,0,0.0,99.5,0.5
2014-2015,Windham,7th,MCV,20,1321,,98.6,,10,0.8,0,0.0,99.4,0.6
2014-2015,Windham,7th,Tdap,20,1321,,98.8,,10,0.8,0,0.0,99.6,0.4
2013-2014,Fairfield,Pre-K,Flu,103,4565,,78.2,202,106,2.3,43,0.9,85.9,14.1
2013-2014,Fairfield,K,Polio,205,11889,,97.1,,214,1.8,35,0.3,99.2,0.8
2013-2014,Fairfield,K,DTaP,205,11889,,97.1,,214,1.8,35,0.3,99.2,0.8
2013-2014,Fairfield,K,MMR,205,11889,,96.7,,214,1.8,35,0.3,98.8,1.2
2013-2014,Fairfield,K,HepB,205,11889,,97.3,,214,1.8,35,0.3,99.4,0.6
2013-2014,Fairfield,K,Varicella,205,11889,,96.5,,214,1.8,35,0.3,98.6,1.4
2013-2014,Fairfield,K,HepA,205,11889,,96.4,,214,1.8,35,0.3,98.5,1.5
2013-2014,Fairfield,7th,Polio,125,12791,,98.2,,164,1.3,33,0.3,99.7,0.3
2013-2014,Fairfield,7th,DTaP,125,12791,,96.7,,164,1.3,33,0.3,98.2,1.8
2013-2014,Fairfield,7th,MMR,125,12791,,98.0,,164,1.3,33,0.3,99.5,0.5
2013-2014,Fairfield,7th,HepB,125,12791,,98.1,,164,1.3,33,0.3,99.6,0.4
2013-2014,Fairfield,7th,Varicella,125,12791,,96.0,,164,1.3,33,0.3,97.5,2.5
2013-2014,Fairfield,7th,MCV,125,12791,,93.2,,164,1.3,33,0.3,94.7,5.3
2013-2014,Fairfield,7th,Tdap,125,12791,,94.4,,164,1.3,33,0.3,95.9,4.1
2013-2014,Hartford,Pre-K,Flu,114,5789,,76.6,220,77,1.3,46,0.8,82.5,17.5
2013-2014,Hartford,K,Polio,192,10363,,96.2,,135,1.3,33,0.3,97.8,2.2
2013-2014,Hartford,K,DTaP,192,10363,,96.4,,135,1.3,33,0.3,98.0,2.0
2013-2014,Hartford,K,MMR,192,10363,,96.5,,135,1.3,33,0.3,98.1,1.9
2013-2014,Hartford,K,HepB,192,10363,,97.2,,135,1.3,33,0.3,98.8,1.2
2013-2014,Hartford,K,Varicella,192,10363,,96.2,,135,1.3,33,0.3,97.8,2.2
2013-2014,Hartford,K,HepA,192,10363,,96.1,,135,1.3,33,0.3,97.7,2.3
2013-2014,Hartford,7th,Polio,130,10848,,98.5,,67,0.6,13,0.1,99.2,0.8
2013-2014,Hartford,7th,DTaP,130,10848,,98.6,,67,0.6,13,0.1,99.3,0.7
2013-2014,Hartford,7th,MMR,130,10848,,98.7,,67,0.6,13,0.1,99.4,0.6
2013-2014,Hartford,7th,HepB,130,10848,,98.7,,67,0.6,13,0.1,99.4,0.6
2013-2014,Hartford,7th,Varicella,130,10848,,96.7,,67,0.6,13,0.1,97.4,2.6
2013-2014,Hartford,7th,MCV,130,10848,,93.9,,67,0.6,13,0.1,94.6,5.4
2013-2014,Hartford,7th,Tdap,130,10848,,94.8,,67,0.6,13,0.1,95.5,4.5
2013-2014,Litchfield,Pre-K,Flu,33,830,,84.1,20,18,2.2,10,1.2,89.9,10.1
2013-2014,Litchfield,K,Polio,43,1672,,97.1,,37,2.2,3,0.2,99.5,0.5
2013-2014,Litchfield,K,DTaP,43,1672,,97.2,,37,2.2,3,0.2,99.6,0.4
2013-2014,Litchfield,K,MMR,43,1672,,97.0,,37,2.2,3,0.2,99.4,0.6
2013-2014,Litchfield,K,HepB,43,1672,,94.6,,37,2.2,3,0.2,97.0,3.0
2013-2014,Litchfield,K,Varicella,43,1672,,96.9,,37,2.2,3,0.2,99.3,0.7
2013-2014,Litchfield,K,HepA,43,1672,,94.1,,37,2.2,3,0.2,96.5,3.5
2013-2014,Litchfield,7th,Polio,28,1912,,98.5,,21,1.1,8,0.4,100.0,0.0
2013-2014,Litchfield,7th,DTaP,28,1912,,98.5,,21,1.1,8,0.4,100.0,0.0
2013-2014,Litchfield,7th,MMR,28,1912,,98.5,,21,1.1,8,0.4,100.0,0.0
2013-2014,Litchfield,7th,HepB,28,1912,,98.5,,21,1.1,8,0.4,100.0,0.0
2013-2014,Litchfield,7th,Varicella,28,1912,,98.3,,21,1.1,8,0.4,99.8,0.2
2013-2014,Litchfield,7th,MCV,28,1912,,98.2,,21,1.1,8,0.4,99.7,0.3
2013-2014,Litchfield,7th,Tdap,28,1912,,98.3,,21,1.1,8,0.4,99.8,0.2
2013-2014,Middlesex,Pre-K,Flu,14,654,,93.1,10,11,1.7,1,0.2,96.5,3.5
2013-2014,Middlesex,K,Polio,27,1518,,96.0,,47,3.1,7,0.5,99.6,0.4
2013-2014,Middlesex,K,DTaP,27,1518,,96.1,,47,3.1,7,0.5,99.7,0.3
2013-2014,Middlesex,K,MMR,27,1518,,95.9,,47,3.1,7,0.5,99.5,0.5
2013-2014,Middlesex,K,HepB,27,1518,,96.2,,47,3.1,7,0.5,99.8,0.2
2013-2014,Middlesex,K,Varicella,27,1518,,95.5,,47,3.1,7,0.5,99.1,0.9
2013-2014,Middlesex,K,HepA,27,1518,,95.8,,47,3.1,7,0.5,99.4,0.6
2013-2014,Middlesex,7th,Polio,15,1801,,98.7,,18,1.0,5,0.3,100.0,0.0
2013-2014,Middlesex,7th,DTaP,15,1801,,98.7,,18,1.0,5,0.3,100.0,0.0
