School Year,County,Grade,Vaccine Series,Number of Schools,Total Enrollment Count,Total Vaccinated Count,Percentage Vaccinated,Religious- Flu Only Exemption Count,Religious Exemption Count,Percentage Religious Exemption,Medical Exemption Count,Percentage Medical Exemption,Percentage Compliant,Percentage Non-Compliant
2020-2021,Fairfield,7th,DTaP,135,12654,12252,96.8,,223,1.8,65,0.5,99.1,0.9
2020-2021,Fairfield,7th,MMR,135,12654,12302,97.2,,223,1.8,65,0.5,99.5,0.5
2020-2021,Fairfield,7th,HepB,135,12654,12290,97.1,,223,1.8,65,0.5,99.4,0.6
2020-2021,Fairfield,7th,Varicella,135,12654,12285,97.1,,223,1.8,65,0.5,99.4,0.6
2020-2021,Fairfield,7th,HepA,135,12654,12247,96.8,,223,1.8,65,0.5,99.1,0.9
2020-2021,Fairfield,7th,MCV,135,12654,11641,92.0,,223,1.8,65,0.5,94.3,5.7
2020-2021,Fairfield,7th,Tdap,135,12654,11668,92.2,,223,1.8,65,0.5,94.5,5.5
2020-2021,Fairfield,7th,All,135,12654,11458,90.5,,223,1.8,65,0.5,92.8,7.2
2020-2021,Hartford,Pre-K,Flu,90,4149,3257,78.5,159,100,2.4,10,0.2,85.0,15.0
2020-2021,Hartford,K,Polio,173,9090,8562,94.2,,172,1.9,26,0.3,96.4,3.6
2020-2021,Hartford,K,DTaP,173,9090,8585,94.4,,172,1.9,26,0.3,96.6,3.4
2020-2021,Hartford,K,MMR,173,9090,8589,94.5,,172,1.9,26,0.3,96.7,3.3
2020-2021,Hartford,K,HepB,173,9090,8681,95.5,,172,1.9,26,0.3,97.7,2.3
2020-2021,Hartford,K,Varicella,173,9090,8580,94.4,,172,1.9,26,0.3,96.6,3.4
2020-2021,Hartford,K,HepA,173,9090,8637,95.0,,172,1.9,26,0.3,97.2,2.8
2020-2021,Hartford,K,All,173,9090,8431,92.8,,172,1.9,26,0.3,94.9,5.1
2020-2021,Hartford,7th,Polio,124,11104,10835,97.6,,150,1.4,32,0.3,99.2,0.8
2020-2021,Hartford,7th,DTaP,124,11104,10817,97.4,,150,1.4,32,0.3,99.1,0.9
2020-2021,Hartford,7th,MMR,124,11104,10845,97.7,,150,1.4,32,0.3,99.3,0.7
2020-2021,Hartford,7th,HepB,124,11104,10824,97.5,,150,1.4,32,0.3,99.1,0.9
2020-2021,Hartford,7th,Varicella,124,11104,10839,97.6,,150,1.4,32,0.3,99.3,0.7
2020-2021,Hartford,7th,HepA,124,11104,10785,97.1,,150,1.4,32,0.3,98.8,1.2
2020-2021,Hartford,7th,MCV,124,11104,9896,89.1,,150,1.4,32,0.3,90.8,9.2
2020-2021,Hartford,7th,Tdap,124,11104,9983,89.9,,150,1.4,32,0.3,91.5,8.5
2020-2021,Hartford,7th,All,124,11104,9791,88.2,,150,1.4,32,0.3,89.8,10.2
2020-2021,Litchfield,Pre-K,Flu,23,670,606,90.4,22,15,2.2,3,0.4,96.4,3.6
2020-2021,Litchfield,K,Polio,40,1479,1404,94.9,,44,3.0,1,0.1,98.0,2.0
2020-2021,Litchfield,K,DTaP,40,1479,1405,95.0,,44,3.0,1,0.1,98.0,2.0
2020-2021,Litchfield,K,MMR,40,1479,1405,95.0,,44,3.0,1,0.1,98.0,2.0
2020-2021,Litchfield,K,HepB,40,1479,1412,95.5,,44,3.0,1,0.1,98.5,1.5
2020-2021,Litchfield,K,Varicella,40,1479,1402,94.8,,44,3.0,1,0.1,97.8,2.2
2020-2021,Litchfield,K,HepA,40,1479,1400,94.7,,44,3.0,1,0.1,97.7,2.3
2020-2021,Litchfield,K,All,40,1479,1384,93.6,,44,3.0,1,0.1,96.6,3.4
2020-2021,Litchfield,7th,Polio,27,1635,1599,97.8,,33,2.0,2,0.1,99.9,0.1
2020-2021,Litchfield,7th,DTaP,27,1635,1600,97.9,,33,2.0,2,0.1,100.0,0.0
2020-2021,Litchfield,7th,MMR,27,1635,1600,97.9,,33,2.0,2,0.1,100.0,0.0
2020-2021,Litchfield,7th,HepB,27,1635,1599,97.8,,33,2.0,2,0.1,99.9,0.1
2020-2021,Litchfield,7th,Varicella,27,1635,1594,97.5,,33,2.0,2,0.1,99.6,0.4
2020-2021,Litchfield,7th,HepA,27,1635,1582,96.8,,33,2.0,2,0.1,98.9,1.1
2020-2021,Litchfield,7th,MCV,27,1635,1562,95.5,,33,2.0,2,0.1,97.7,2.3
2020-2021,Litchfield,7th,Tdap,27,1635,1497,91.6,,33,2.0,2,0.1,93.7,6.3
2020-2021,Litchfield,7th,All,27,1635,1465,89.6,,33,2.0,2,0.1,91.7,8.3
2020-2021,Middlesex,Pre-K,Flu,12,371,336,90.6,10,10,2.7,2,0.5,96.5,3.5
2020-2021,Middlesex,K,Polio,25,1216,1165,95.8,,42,3.5,1,0.1,99.3,0.7
2020-2021,Middlesex,K,DTaP,25,1216,1165,95.8,,42,3.5,1,0.1,99.3,0.7
2020-2021,Middlesex,K,MMR,25,1216,1164,95.7,,42,3.5,1,0.1,99.3,0.7
2020-2021,Middlesex,K,HepB,25,1216,1163,95.6,,42,3.5,1,0.1,99.2,0.8
2020-2021,Middlesex,K,Varicella,25,1216,1161,95.5,,42,3.5,1,0.1,99.0,1.0
2020-2021,Middlesex,K,HepA,25,1216,1164,95.7,,42,3.5,1,0.1,99.3,0.7
2020-2021,Middlesex,K,All,25,1216,1152,94.7,,42,3.5,1,0.1,98.3,1.7
2020-2021,Middlesex,7th,Polio,16,1658,1622,97.8,,26,1.6,8,0.5,99.9,0.1
2020-2021,Middlesex,7th,DTaP,16,1658,1623,97.9,,26,1.6,8,0.5,99.9,0.1
2020-2021,Middlesex,7th,MMR,16,1658,1623,97.9,,26,1.6,8,0.5,99.9,0.1
2020-2021,Middlesex,7th,HepB,16,1658,1624,97.9,,26,1.6,8,0.5,100.0,0.0
2020-2021,Middlesex,7th,Varicella,16,1658,1621,97.8,,26,1.6,8,0.5,99.8,0.2
2020-2021,Middlesex,7th,HepA,16,1658,1614,97.3,,26,1.6,8,0.5,99.4,0.6
2020-2021,Middlesex,7th,MCV,16,1658,1531,92.3,,26,1.6,8,0.5,94.4,5.6
2020-2021,Middlesex,7th,Tdap,16,1658,1533,92.5,,26,1.6,8,0.5,94.5,5.5
2020-2021,Middlesex,7th,All,16,1658,1516,91.4,,26,1.6,8,0.5,93.5,6.5
2020-2021,New Haven,Pre-K,Flu,69,2705,2263,83.7,75,60,2.2,5,0.2,88.8,11.2
2020-2021,New Haven,K,Polio,158,7875,7482,95.0,,157,2.0,17,0.2,97.2,2.8
2020-2021,New Haven,K,DTaP,158,7875,7477,94.9,,157,2.0,17,0.2,97.2,2.8
2020-2021,New Haven,K,MMR,158,7875,7481,95.0,,157,2.0,17,0.2,97.2,2.8
2020-2021,New Haven,K,HepB,158,7875,7566,96.1,,157,2.0,17,0.2,98.3,1.7
2020-2021,New Haven,K,Varicella,158,7875,7466,94.8,,157,2.0,17,0.2,97.0,3.0
2020-2021,New Haven,K,HepA,158,7875,7516,95.4,,157,2.0,17,0.2,97.7,2.3
2020-2021,New Haven,K,All,158,7875,7386,93.8,,157,2.0,17,0.2,96.0,4.0
2020-2021,New Haven,7th,Polio,108,9444,9273,98.2,,107,1.1,12,0.1,99.4,0.6
2020-2021,New Haven,7th,DTaP,108,9444,9274,98.2,,107,1.1,12,0.1,99.5,0.5
2020-2021,New Haven,7th,MMR,108,9444,9268,98.1,,107,1.1,12,0.1,99.4,0.6
2020-2021,New Haven,7th,HepB,108,9444,9278,98.2,,107,1.1,12,0.1,99.5,0.5
2020-2021,New Haven,7th,Varicella,108,9444,9265,98.1,,107,1.1,12,0.1,99.4,0.6
2020-2021,New Haven,7th,HepA,108,9444,9250,97.9,,107,1.1,12,0.1,99.2,0.8
2020-2021,New Haven,7th,MCV,108,9444,8586,90.9,,107,1.1,12,0.1,92.2,7.8
2020-2021,New Haven,7th,Tdap,108,9444,8618,91.3,,107,1.1,12,0.1,92.5,7.5
2020-2021,New Haven,7th,All,108,9444,8534,90.4,,107,1.1,12,0.1,91.6,8.4
2020-2021,New London,Pre-K,Flu,33,1369,1184,86.5,23,39,2.8,7,0.5,91.5,8.5
2020-2021,New London,K,Polio,57,2405,2311,96.1,,59,2.5,5,0.2,98.8,1.2
2020-2021,New London,K,DTaP,57,2405,2311,96.1,,59,2.5,5,0.2,98.8,1.2
2020-2021,New London,K,MMR,57,2405,2316,96.3,,59,2.5,5,0.2,99.0,1.0
2020-2021,New London,K,HepB,57,2405,2322,96.5,,59,2.5,5,0.2,99.2,0.8
2020-2021,New London,K,Varicella,57,2405,2315,96.3,,59,2.5,5,0.2,98.9,1.1
2020-2021,New London,K,HepA,57,2405,2311,96.1,,59,2.5,5,0.2,98.8,1.2
2020-2021,New London,K,All,57,2405,2278,94.7,,59,2.5,5,0.2,97.4,2.6
2020-2021,New London,7th,Polio,40,2759,2683,97.2,,50,1.8,8,0.3,99.3,0.7
2020-2021,New London,7th,DTaP,40,2759,2570,93.1,,50,1.8,8,0.3,95.3,4.7
2020-2021,New London,7th,MMR,40,2759,2687,97.4,,50,1.8,8,0.3,99.5,0.5
2020-2021,New London,7th,HepB,40,2759,2684,97.3,,50,1.8,8,0.3,99.4,0.6
2020-2021,New London,7th,Varicella,40,2759,2679,97.1,,50,1.8,8,0.3,99.2,0.8
2020-2021,New London,7th,HepA,40,2759,2672,96.8,,50,1.8,8,0.3,98.9,1.1
2020-2021,New London,7th,MCV,40,2759,2369,85.9,,50,1.8,8,0.3,88.0,12.0
2020-2021,New London,7th,Tdap,40,2759,2409,87.3,,50,1.8,8,0.3,89.4,10.6
2020-2021,New London,7th,All,40,2759,2342,84.9,,50,1.8,8,0.3,87.0,13.0
2020-2021,State,Pre-K,Flu,363,14878,12344,83.0,499,421,2.8,44,0.3,89.4,10.6
2020-2021,State,K,Polio,697,34396,32759,95.2,,803,2.3,83,0.2,97.8,2.2
2020-2021,State,K,DTaP,697,34396,32768,95.3,,803,2.3,83,0.2,97.8,2.2
2020-2021,State,K,MMR,697,34396,32771,95.3,,803,2.3,83,0.2,97.9,2.1
2020-2021,State,K,HepB,697,34396,33046,96.1,,803,2.3,83,0.2,98.7,1.3
2020-2021,State,K,Varicella,697,34396,32711,95.1,,803,2.3,83,0.2,97.7,2.3
2020-2021,State,K,HepA,697,34396,32896,95.6,,803,2.3,83,0.2,98.2,1.8
2020-2021,State,K,All,697,34396,32312,93.9,,803,2.3,83,0.2,96.5,3.5
2020-2021,State,7th,Polio,483,42045,41010,97.5,,662,1.6,130,0.3,99.4,0.6
2020-2021,State,7th,DTaP,483,42045,40847,97.2,,662,1.6,130,0.3,99.0,1.0
2020-2021,State,7th,MMR,483,42045,41037,97.6,,662,1.6,130,0.3,99.5,0.5
2020-2021,State,7th,HepB,483,42045,41000,97.5,,662,1.6,130,0.3,99.4,0.6
2020-2021,State,7th,Varicella,483,42045,40995,97.5,,662,1.6,130,0.3,99.4,0.6
2020-2021,State,7th,HepA,483,42045,40842,97.1,,662,1.6,130,0.3,99.0,1.0
2020-2021,State,7th,MCV,483,42045,38233,90.9,,662,1.6,130,0.3,92.8,7.2
2020-2021,State,7th,Tdap,483,42045,38356,91.2,,662,1.6,130,0.3,93.1,6.9
2020-2021,State,7th,All,483,42045,37697,89.7,,662,1.6,130,0.3,91.5,8.5
2020-2021,Tolland,Pre-K,Flu,19,590,543,92.0,23,15,2.5,1,0.2,98.6,1.4
2020-2021,Tolland,K,Polio,25,1059,1012,95.6,,31,2.9,5,0.5,99.0,1.0
2020-2021,Tolland,K,DTaP,25,1059,1010,95.4,,31,2.9,5,0.5,98.8,1.2
2020-2021,Tolland,K,MMR,25,1059,1014,95.8,,31,2.9,5,0.5,99.2,0.8
2020-2021,Tolland,K,HepB,25,1059,1020,96.3,,31,2.9,5,0.5,99.7,0.3
2020-2021,Tolland,K,Varicella,25,1059,1012,95.6,,31,2.9,5,0.5,99.0,1.0
2020-2021,Tolland,K,HepA,25,1059,1017,96.0,,31,2.9,5,0.5,99.4,0.6
2020-2021,Tolland,K,All,25,1059,1001,94.5,,31,2.9,5,0.5,97.9,2.1
2020-2021,Tolland,7th,Polio,13,1381,1328,96.2,,51,3.7,2,0.1,100.0,0.0
2020-2021,Tolland,7th,DTaP,13,1381,1326,96.0,,51,3.7,2,0.1,99.9,0.1
2020-2021,Tolland,7th,MMR,13,1381,1328,96.2,,51,3.7,2,0.1,100.0,0.0
2020-2021,Tolland,7th,HepB,13,1381,1326,96.0,,51,3.7,2,0.1,99.9,0.1
2020-2021,Tolland,7th,Varicella,13,1381,1328,96.2,,51,3.7,2,0.1,100.0,0.0
2020-2021,Tolland,7th,HepA,13,1381,1327,96.1,,51,3.7,2,0.1,99.9,0.1
2020-2021,Tolland,7th,MCV,13,1381,1313,95.1,,51,3.7,2,0.1,98.9,1.1
2020-2021,Tolland,7th,Tdap,13,1381,1312,95.0,,51,3.7,2,0.1,98.8,1.2
2020-2021,Tolland,7th,All,13,1381,1304,94.4,,51,3.7,2,0.1,98.3,1.7
2020-2021,Windham,Pre-K,Flu,15,499,378,75.8,29,32,6.4,5,1.0,89.0,11.0
2020-2021,Windham,K,Polio,22,1066,996,93.4,,46,4.3,6,0.6,98.3,1.7
2020-2021,Windham,K,DTaP,22,1066,995,93.3,,46,4.3,6,0.6,98.2,1.8
2020-2021,Windham,K,MMR,22,1066,997,93.5,,46,4.3,6,0.6,98.4,1.6
2020-2021,Windham,K,HepB,22,1066,1007,94.5,,46,4.3,6,0.6,99.3,0.7
2020-2021,Windham,K,Varicella,22,1066,992,93.1,,46,4.3,6,0.6,97.9,2.1
2020-2021,Windham,K,HepA,22,1066,1001,93.9,,46,4.3,6,0.6,98.8,1.2
2020-2021,Windham,K,All,22,1066,980,91.9,,46,4.3,6,0.6,96.8,3.2
2020-2021,Windham,7th,Polio,20,1410,1378,97.7,,22,1.6,1,0.1,99.4,0.6
2020-2021,Windham,7th,DTaP,20,1410,1385,98.2,,22,1.6,1,0.1,99.9,0.1
2020-2021,Windham,7th,MMR,20,1410,1384,98.2,,22,1.6,1,0.1,99.8,0.2
2020-2021,Windham,7th,HepB,20,1410,1375,97.5,,22,1.6,1,0.1,99.1,0.9
2020-2021,Windham,7th,Varicella,20,1410,1384,98.2,,22,1.6,1,0.1,99.8,0.2
2020-2021,Windham,7th,HepA,20,1410,1365,96.8,,22,1.6,1,0.1,98.4,1.6
2020-2021,Windham,7th,MCV,20,1410,1335,94.7,,22,1.6,1,0.1,96.3,3.7
2020-2021,Windham,7th,Tdap,20,1410,1336,94.8,,22,1.6,1,0.1,96.4,3.6
2020-2021,Windham,7th,All,20,1410,1287,91.3,,22,1.6,1,0.1,92.9,7.1
2019-2020,Fairfield,Pre-K,Flu,102,4900,4316,88.1,170,162,3.3,11,0.2,95.1,4.9
2019-2020,Fairfield,K,Polio,203,11301,10906,96.5,,286,2.5,23,0.2,99.2,0.8
2019-2020,Fairfield,K,DTaP,203,11301,10901,96.5,,286,2.5,23,0.2,99.2,0.8
2019-2020,Fairfield,K,MMR,203,11301,10874,96.2,,286,2.5,23,0.2,99.0,1.0
2019-2020,Fairfield,K,HepB,203,11301,10920,96.6,,286,2.5,23,0.2,99.4,0.6
2019-2020,Fairfield,K,Varicella,203,11301,10813,95.7,,286,2.5,23,0.2,98.4,1.6
2019-2020,Fairfield,K,HepA,203,11301,10837,95.9,,286,2.5,23,0.2,98.6,1.4
